,TSK-009,2026-06-30,2026-07-10,Done,Normal,Melakukan QC 80 soal Verbal Analogi,QC Konten,JadiBUMN,Staff QC,,,12 soal dikembalikan untuk revisi.,,,,,,,,Manager,
,TSK-010,2026-07-02,2026-07-12,Done,High,Menyusun silabus Liveclass TWK,RnD,JadiASN,Leader Konten,Staff Materi,Silabus TWK v3,,Sudah sesuai kisi-kisi terbaru.,,,Menyusun,1,silabus,Liveclass TWK,Manager,
,TSK-011,2026-07-05,2026-07-15,Done,Normal,Melakukan scraping tren pembahasan SNBT di X,Data & Intelligence,Cerebrum,Staff Data,,Dataset Scraping SNBT,4.200 post terkumpul.,,,,Melakukan,1,scraping,tren SNBT,Staff Data,
,TSK-012,2026-07-08,2026-07-18,Done,Low,Memperbarui thumbnail 30 video Jago TPA,QC Konten,Jago TPA,Staff Input,,,,,,,Memperbarui,30,thumbnail,Jago TPA,Manager,
,TSK-013,2026-07-10,2026-07-21,Done,Normal,Menginput jadwal liveclass Juli,Input,JadiPPPK,Staff Materi,Staff Liveclass,Kalender Liveclass,,,,,Menginput,1,jadwal,liveclass Juli,Manager,
,TSK-014,2026-07-12,2026-07-24,Done,High,Membuat 60 soal Penalaran Umum,Develop Soal,JadiSekdin,Staff Soal,Staff QC,Bank Soal PU,Selesai + pembahasan.,,,,Membuat,60,soal,Penalaran Umum,Manager,
,TSK-015,2026-06-30,2026-07-22,In progress,Urgent,Membuat 200 soal Latsol JadiOJK,Develop Soal,JadiOJK,Staff Soal,Staff Materi,Bank Soal OJK,"Baru 120 soal, butuh 3 hari lagi.","Prioritaskan, ini blocker paket TO.",,,Membuat,200,soal,Latsol JadiOJK,Manager,
,TSK-016,2026-07-04,2026-07-25,In progress,High,Melakukan QC 100 video pembahasan Kedinasan,QC Konten,JadiSekdin,Staff QC,,,68/100 selesai.,,,,Melakukan,100,QC,video Kedinasan,Manager,
,TSK-017,2026-07-06,2026-07-27,In progress,Normal,Menyusun materi Journey JadiPolisi,Develop Materi,JadiPolisi,Leader Konten,Staff Materi,Journey Polisi v1,Menunggu approval struktur bab.,,,,Menyusun,1,journey,JadiPolisi,Manager,
,TSK-018,2026-07-10,2026-07-30,In progress,Urgent,Menginput 150 soal Latsol ke Markaz,Input,Markaz,Staff Input,Leader Sistem,Batch Input Markaz,"Deadline hari ini, 130 sudah masuk.",,,,Menginput,150,soal,Latsol Markaz,Manager,
,TSK-019,2026-07-12,2026-07-31,In progress,High,Membangun dashboard retensi siswa,Data & Intelligence,All Platform,Staff Data,Manager,Dashboard Retensi,Chart cohort sudah jalan.,Tambahkan filter per platform.,,,Membangun,1,dashboard,retensi siswa,Staff Data,Ya
,TSK-020,2026-07-14,2026-08-01,In progress,Normal,Merapikan subbab kategori JadiBUMN,Manajemen Sistem,JadiBUMN,Leader Sistem,,,,,,,Merapikan,1,subbab,JadiBUMN,Manager,
,TSK-021,2026-07-16,2026-08-02,In progress,Normal,Mengambil video pembahasan TWK 35 soal,Develop Materi,JadiASN,Staff Soal,Staff Liveclass,Studio Booking #31,,,,,Mengambil (take),35,video pembahasan,TWK,Manager,
,TSK-022,2026-07-18,2026-08-05,In progress,High,Menyusun paket Tryout Beasiswa LPDP,Develop Soal,JadiBeasiswa,Staff Materi,Staff Soal,Paket TO LPDP,Paket 1—3 siap.,,,,Menyusun,5,paket tryout,Beasiswa LPDP,Manager,Ya
,TSK-023,2026-07-20,2026-08-07,In progress,Normal,Memonitor liveclass batch Agustus,Liveclass,JadiPPPK,Staff Liveclass,Staff Materi,,,,,,Memonitor,1,liveclass,batch Agustus,Manager,
,TSK-024,2026-07-21,2026-08-09,In progress,Low,Membuat prompt AI untuk draft soal,RnD,Cerebrum,Staff Data,Leader Konten,Prompt Library,Uji coba di 3 tipe soal.,,,,Membuat,1,prompt,draft soal otomatis,Staff Data,
,TSK-025,2026-07-22,2026-08-11,In progress,Normal,Melakukan QC 60 soal Figural,QC Konten,Jago TPA,Staff QC,,,,,,,Melakukan,60,QC,soal Figural,Manager,
,TSK-026,2026-07-23,2026-08-13,In progress,High,Menyusun kerangka kategori Toefl Academy,Manajemen Sistem,Toefl Academy,Leader Sistem,Leader Konten,,,Samakan dengan struktur Markaz.,,,Menyusun,1,kerangka kategori,Toefl Academy,Manager,
,TSK-027,2026-07-24,2026-07-28,Todo,Urgent,Menginput 90 video pembahasan Prajurit,Input,JadiPrajurit,Staff Input,,,,"Sudah lewat deadline, mohon dikejar.",,,Menginput,90,video pembahasan,JadiPrajurit,Manager,
,TSK-028,2026-07-24,2026-07-30,Todo,High,Membuat 45 soal Numerik Deret,Develop Soal,JadiASN,Staff Soal,,,,,,,Membuat,45,soal,Numerik Deret,Manager,
,TSK-029,2026-07-25,2026-08-01,Todo,Normal,Menyusun panduan belajar JadiPCPM,RnD,JadiPCPM,Leader Konten,,,,,,,Menyusun,1,panduan,JadiPCPM,Manager,
,TSK-030,2026-07-25,2026-08-04,Todo,Normal,Mendistribusikan proyek video ke 8 guru,Manajemen Guru,All Platform,Staff Liveclass,,,,,,,Mendistribusikan,8,proyek video pembahasan,batch Agustus,Manager,
,TSK-031,2026-07-26,2026-08-06,Todo,Low,Membuat query funnel pembayaran,Data & Intelligence,All Platform,Staff Data,,,,,,,Membuat,1,query,funnel pembayaran,Staff Data,
,TSK-032,2026-07-26,2026-08-08,Todo,Normal,Melakukan QC 40 soal Verbal Silogisme,QC Konten,JadiBUMN,Staff QC,,,,,,,Melakukan,40,QC,Verbal Silogisme,Manager,
,TSK-033,2026-07-27,2026-08-10,Todo,High,Menyusun materi Drilling Numerik,Develop Materi,Cerebrum,Staff Materi,Leader Konten,,,,,,Menyusun,1,materi,Drilling Numerik,Manager,Ya
,TSK-034,2026-07-27,2026-08-14,Todo,Normal,Menginput jadwal liveclass September,Input,JadiPPPK,Staff Input,Staff Liveclass,,,,,,Menginput,1,jadwal,liveclass September,Manager,
,TSK-035,2026-07-28,2026-08-17,Todo,Low,Melakukan riset kompetitor platform CPNS,RnD,Cerebrum,Manager,Staff Data,,,,,,Melakukan,1,riset,kompetitor CPNS,Manager,
,TSK-036,2026-07-28,2026-08-20,Todo,Normal,Generate paket TO SNBT batch 4,Manajemen Sistem,Cerebrum,Leader Sistem,,,,,,,Generate/regenerate,4,paket,TO SNBT batch 4,Manager,
,TSK-037,2026-07-15,2026-07-29,Review PM,High,Review materi Liveclass Numerik,Liveclass,JadiASN,Staff Data,,Materi Liveclass Numerik,Menunggu review PM.,,,,,,,,Manager,
,TSK-038,2026-07-17,2026-08-02,Review PM,Normal,Review 120 soal Latsol JadiASN,Develop Soal,JadiASN,Staff Soal,Staff QC,,Sudah lengkap dengan pembahasan.,,,,,,,,Manager,
,TSK-039,2026-07-19,2026-08-03,Review PM,High,Review kurikulum Journey PPPK,RnD,JadiPPPK,Leader Konten,,Kurikulum Journey PPPK,,,,,,,,,Manager,
,TSK-040,2026-07-20,2026-08-05,Review PM,Normal,Review report mingguan konten,Report,All Platform,Staff Materi,,,,,,,,,,,Manager,
,TSK-041,2026-07-21,2026-08-07,Review PM,Urgent,Review dashboard Data Intelligence,Data & Intelligence,All Platform,Staff Data,Leader Sistem,Dashboard v3,,,,,,,,,Staff Data,
,TSK-042,2026-07-22,2026-08-08,Review PM,Normal,Review 50 video pembahasan OJK,QC Konten,JadiOJK,Staff QC,,,,,,,,,,,Manager,
,TSK-043,2026-07-13,2026-07-26,Revisi,High,Perbaikan 30 soal Verbal hasil review PM,Develop Soal,JadiASN,Staff Soal,,,,Perbaiki opsi pengecoh di 30 soal ini.,,,,,,,Manager,
,TSK-044,2026-07-18,2026-08-01,Revisi,Normal,Revisi materi TWK sesuai masukan PM,Develop Materi,JadiASN,Leader Konten,,,,Tambahkan contoh kasus terbaru.,,,,,,,Manager,
,TSK-045,2026-07-20,2026-08-04,Revisi,Normal,Revisi thumbnail seri Drilling,QC Konten,Cerebrum,Staff Input,,,,Samakan font dengan brand guide.,,,,,,,Manager,
,TSK-046,2026-07-09,2026-08-19,Hold,Low,Integrasi API bank soal eksternal,Manajemen Sistem,Siadu,Leader Sistem,Staff Data,,Menunggu kontrak vendor.,Hold sampai Q4.,,,,,,,Manager,
,TSK-047,2026-07-11,2026-08-24,Hold,Normal,Riset fitur adaptive learning,RnD,Cerebrum,Manager,Staff Data,,,"Ditunda, fokus ke TO dulu.",,,,,,,Manager,
,TSK-048,2026-07-23,2026-08-03,In progress,High,Request banner promo Tryout Akbar SNBT,Manajemen Sistem,Marketing,Manager,,Brief Banner TO Akbar,,"Butuh 3 ukuran: feed, story, web.",Marketing,Kontak Marketing,,,,,Manager,
,TSK-049,2026-07-24,2026-08-05,Todo,Normal,Request perbaikan bug login Siadu,Manajemen Sistem,Siadu,Leader Sistem,,Tiket #4412,,,IT,Kontak IT,,,,,Leader Sistem,
,TSK-050,2026-07-25,2026-08-07,Review PM,Normal,Request data closing penjualan Juli,Data & Intelligence,All Platform,Staff Data,,,"Data sudah dikirim, menunggu konfirmasi.",,Sales,Kontak Sales,,,,,Staff Data,
